"Threads","Max Iterations","Width","Height","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
4,65535,1000,1000,36.355699,0.131628,36.191425,36.513661
6,65535,1000,1000,24.116171,0.049918,24.045789,24.156118
8,65535,1000,1000,18.026370,0.028299,17.991104,18.060390
10,65535,1000,1000,14.455655,0.009105,14.449061,14.468530
12,65535,1000,1000,12.006175,0.007918,11.998217,12.016977
14,65535,1000,1000,10.297231,0.000261,10.296863,10.297429
16,65535,1000,1000,9.000583,0.003560,8.995570,9.003495
18,65535,1000,1000,7.997757,0.009443,7.984571,8.006180
20,65535,1000,1000,7.195880,0.008551,7.186829,7.207350
22,65535,1000,1000,6.536583,0.001876,6.534104,6.538641
24,65535,1000,1000,5.990974,0.000236,5.990796,5.991308
26,65535,1000,1000,5.530438,0.001108,5.529226,5.531904
28,65535,1000,1000,5.141050,0.002187,5.139119,5.144108
30,65535,1000,1000,4.796897,0.001010,4.795515,4.797903
32,65535,1000,1000,4.504313,0.000892,4.503665,4.505574
34,65535,1000,1000,4.238102,0.002064,4.235194,4.239775
36,65535,1000,1000,4.000288,0.001392,3.998890,4.002187
38,65535,1000,1000,3.794080,0.000726,3.793251,3.795018
40,65535,1000,1000,3.599156,0.001079,3.597849,3.600491
42,65535,1000,1000,3.432263,0.000815,3.431111,3.432876
44,65535,1000,1000,3.280071,0.000554,3.279333,3.280666
46,65535,1000,1000,3.138824,0.000907,3.137546,3.139550
48,65535,1000,1000,2.999521,0.000783,2.998636,3.000540
50,65535,1000,1000,2.887902,0.000586,2.887092,2.888458
52,65535,1000,1000,2.778971,0.000657,2.778138,2.779745
54,65535,1000,1000,2.678446,0.000328,2.678027,2.678828
56,65535,1000,1000,2.579941,0.000693,2.579304,2.580905
58,65535,1000,1000,2.486092,0.000621,2.485561,2.486964
60,65535,1000,1000,2.404002,0.000276,2.403611,2.404212
62,65535,1000,1000,2.342343,0.000663,2.341713,2.343261
64,65535,1000,1000,2.291086,0.000508,2.290370,2.291498
66,65535,1000,1000,2.223875,0.003458,2.220230,2.228522
68,65535,1000,1000,2.148029,0.000487,2.147407,2.148596
70,65535,1000,1000,2.068997,0.000357,2.068533,2.069400
72,65535,1000,1000,2.010490,0.000882,2.009855,2.011736
74,65535,1000,1000,1.992045,0.000338,1.991592,1.992403
76,65535,1000,1000,1.959718,0.000449,1.959159,1.960258
78,65535,1000,1000,1.880264,0.000957,1.879447,1.881607
80,65535,1000,1000,1.818190,0.000549,1.817414,1.818613
82,65535,1000,1000,1.774361,0.000308,1.774015,1.774762
84,65535,1000,1000,1.732726,0.000666,1.731784,1.733209
86,65535,1000,1000,1.689581,0.001003,1.688728,1.690989
88,65535,1000,1000,1.664757,0.000936,1.663981,1.666073
90,65535,1000,1000,1.640030,0.000329,1.639648,1.640451
92,65535,1000,1000,1.591620,0.000177,1.591372,1.591772
94,65535,1000,1000,1.564634,0.000286,1.564244,1.564923
96,65535,1000,1000,1.530260,0.000907,1.529179,1.531398
98,65535,1000,1000,1.486824,0.000158,1.486700,1.487047
100,65535,1000,1000,1.468667,0.000772,1.467646,1.469512
102,65535,1000,1000,1.426968,0.001030,1.425530,1.427885
104,65535,1000,1000,1.396057,0.000605,1.395204,1.396543
106,65535,1000,1000,1.383247,0.000557,1.382460,1.383669
108,65535,1000,1000,1.373305,0.000429,1.372786,1.373837
110,65535,1000,1000,1.367254,0.001817,1.364824,1.369191
112,65535,1000,1000,1.356842,0.000169,1.356657,1.357065
114,65535,1000,1000,1.354283,0.001905,1.351846,1.356494
116,65535,1000,1000,1.347034,0.001056,1.345638,1.348191
118,65535,1000,1000,1.339052,0.000794,1.338208,1.340115
120,65535,1000,1000,1.331720,0.004553,1.325317,1.335499
122,65535,1000,1000,1.306814,0.002407,1.304810,1.310199
124,65535,1000,1000,1.354003,0.027963,1.314487,1.375121
126,65535,1000,1000,1.356088,0.063033,1.309906,1.445212
128,65535,1000,1000,1.265200,0.005101,1.258708,1.271169
1,65535,1000,1000,143.313466,0.000000,143.313466,143.3134664,1000,1000,1000,0.817464,0.005112,0.810914,0.823388
