"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
serial,Yes,1,1,10000000,1.000000e+07,12.087018,0.073357,11.952823,12.243013
simple,Yes,1,2,10000000,1.000000e+07,12.097690,0.056571,12.001566,12.192842
simple,Yes,2,2,10000000,1.000000e+07,7.468441,2.377742,4.924413,11.522930
simple,Yes,4,2,10000000,1.000000e+07,4.275430,2.189234,0.657714,7.648207
simple,Yes,8,2,10000000,1.000000e+07,3.016314,1.260373,0.904588,5.669349
simple,Yes,16,2,10000000,1.000000e+07,2.472780,0.867776,0.221499,3.460582
simple,Yes,32,2,10000000,1.000000e+07,2.429539,1.398523,0.082091,4.941564
simple,Yes,64,2,10000000,1.000000e+07,2.003768,1.180212,0.044484,3.705848
simple,Yes,128,2,10000000,1.000000e+07,2.497761,1.821105,0.087045,6.247321
hyper,Yes,1,2,10000000,1.000000e+07,12.104217,0.072739,11.990752,12.220811
hyper,Yes,2,2,10000000,1.000000e+07,13.086423,0.077871,12.931260,13.192449
hyper,Yes,4,2,10000000,1.000000e+07,5.463164,0.149021,5.100257,5.611995
hyper,Yes,8,2,10000000,1.000000e+07,3.722133,0.098209,3.511312,3.820047
hyper,Yes,16,2,10000000,1.000000e+07,2.448180,0.015310,2.428340,2.472092
hyper,Yes,32,2,10000000,1.000000e+07,1.501492,0.017480,1.463142,1.524598
hyper,Yes,64,2,10000000,1.000000e+07,1.024363,0.038389,0.964701,1.078996
hyper,Yes,128,2,10000000,1.000000e+07,1.745701,0.340331,1.181378,2.236359
psrs,Yes,1,2,10000000,1.000000e+07,12.034008,0.131187,11.845644,12.363743
psrs,Yes,2,2,10000000,1.000000e+07,12.993037,0.091173,12.853517,13.142959
psrs,Yes,3,2,10000000,1.000000e+07,4.309762,0.030996,4.237704,4.348501
psrs,Yes,4,2,10000000,1.000000e+07,3.270244,0.051527,3.140125,3.340946
psrs,Yes,5,2,10000000,1.000000e+07,2.551131,0.023606,2.494826,2.578569
psrs,Yes,6,2,10000000,1.000000e+07,2.196453,0.022100,2.161630,2.226908
psrs,Yes,7,2,10000000,1.000000e+07,1.872560,0.019432,1.840069,1.907568
psrs,Yes,8,2,10000000,1.000000e+07,1.660894,0.015586,1.622243,1.679347
