"Method","Sorted","Processes","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
serial,Yes,1,1,1000000,1.000000e+06,1.046380,0.008750,1.032338,1.060284
simple,Yes,1,2,1000000,1.000000e+06,1.042637,0.009616,1.025366,1.061294
simple,Yes,2,2,2000000,2.000000e+06,1.312718,0.233905,0.969276,1.625219
serial,Yes,1,1,1000000,1.000000e+06,1.038480,0.011582,1.023231,1.058480
simple,Yes,1,2,1000000,1.000000e+06,1.036856,0.008094,1.029129,1.056332
simple,Yes,2,2,2000000,2.000000e+06,1.350218,0.260285,0.971617,1.675629
simple,Yes,4,2,4000000,4.000000e+06,1.207713,0.575746,0.215783,2.090575
simple,Yes,8,2,8000000,8.000000e+06,1.917576,0.756627,0.800996,3.283489
simple,Yes,16,2,16000000,1.600000e+07,2.741447,1.095467,0.826798,4.397644
simple,Yes,32,2,32000000,3.200000e+07,4.610434,1.619818,2.527464,7.825190
simple,Yes,64,2,64000000,6.400000e+07,8.126993,5.109793,0.366414,16.614463
simple,Yes,128,2,128000000,1.280000e+08,13.454551,5.037928,0.693228,19.816661
hyper,Yes,1,2,1000000,1.000000e+06,1.032640,0.009262,1.016748,1.045346
hyper,Yes,2,2,2000000,2.000000e+06,2.357589,0.025141,2.327606,2.403781
hyper,Yes,4,2,4000000,4.000000e+06,2.148257,0.026428,2.091538,2.189411
hyper,Yes,8,2,8000000,8.000000e+06,3.010852,0.020329,2.979690,3.039646
hyper,Yes,16,2,16000000,1.600000e+07,3.931554,0.059045,3.774109,3.997571
hyper,Yes,32,2,32000000,3.200000e+07,4.986566,0.025694,4.935257,5.030276
hyper,Yes,64,2,64000000,6.400000e+07,7.399502,0.165751,7.047490,7.561213
hyper,Yes,128,2,128000000,1.280000e+08,15.765054,0.902563,14.356037,17.131400
psrs,Yes,1,2,1000000,1.000000e+06,1.036203,0.010635,1.020261,1.055740
psrs,Yes,2,2,2000000,2.000000e+06,2.356913,0.014172,2.340814,2.380738
psrs,Yes,4,2,4000000,4.000000e+06,1.274907,0.013326,1.252047,1.294135
psrs,Yes,8,2,8000000,8.000000e+06,1.345202,0.021030,1.309727,1.377088
psrs,Yes,16,2,16000000,1.600000e+07,1.376753,0.030509,1.322013,1.420251
psrs,Yes,32,2,32000000,3.200000e+07,1.421755,0.022643,1.356324,1.437887
