"Method","Sorted","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
task, Yes,2,100000000,1.000000e+08,72.443229,1.178781,71.117732,74.405261
task, Yes,4,100000000,1.000000e+08,39.624704,0.805610,38.510699,40.727071
task, Yes,6,100000000,1.000000e+08,30.522392,1.360551,28.716754,32.236491
task, Yes,8,100000000,1.000000e+08,25.544995,1.367468,23.588306,27.415081
task, Yes,10,100000000,1.000000e+08,23.307821,0.559267,22.541708,24.022697
task, Yes,12,100000000,1.000000e+08,21.362504,0.731640,20.259465,22.298916
task, Yes,14,100000000,1.000000e+08,21.122350,1.152337,19.491116,22.955114
task, Yes,16,100000000,1.000000e+08,20.070151,0.530222,19.079774,20.553230
task, Yes,18,100000000,1.000000e+08,20.868190,0.839771,20.162555,22.394535
task, Yes,20,100000000,1.000000e+08,21.865170,1.453898,20.099501,23.873595
task, Yes,22,100000000,1.000000e+08,20.666988,1.066697,19.077517,22.020144
task, Yes,24,100000000,1.000000e+08,21.244793,0.555306,20.716687,22.106554
task, Yes,26,100000000,1.000000e+08,20.259521,1.012330,18.907517,21.409530
task, Yes,28,100000000,1.000000e+08,21.833827,1.040232,20.185312,23.196032
task, Yes,30,100000000,1.000000e+08,22.729159,1.313485,20.725392,24.397085
task, Yes,32,100000000,1.000000e+08,21.981294,1.292989,20.368547,24.215997
task, Yes,34,100000000,1.000000e+08,22.822412,0.816549,21.318519,23.765147
task, Yes,36,100000000,1.000000e+08,22.574181,1.313772,20.475943,24.088933
task, Yes,38,100000000,1.000000e+08,22.682159,0.820528,21.564393,23.754339
task, Yes,40,100000000,1.000000e+08,23.171761,0.828487,22.532304,24.772837
task, Yes,42,100000000,1.000000e+08,23.922271,1.114105,22.149888,25.507044
task, Yes,44,100000000,1.000000e+08,23.902064,1.065278,23.120261,25.989786
task, Yes,46,100000000,1.000000e+08,23.622785,1.388045,22.141272,25.638111
task, Yes,48,100000000,1.000000e+08,23.304732,0.914275,22.115495,24.565736
task, Yes,50,100000000,1.000000e+08,23.588125,0.593351,22.753210,24.473123
task, Yes,52,100000000,1.000000e+08,24.379087,1.806099,21.926372,26.571346
task, Yes,54,100000000,1.000000e+08,23.800456,1.462907,22.175208,26.354468
task, Yes,56,100000000,1.000000e+08,24.457145,1.014598,23.010213,25.630769
task, Yes,58,100000000,1.000000e+08,23.520782,0.391223,22.955277,24.069531
task, Yes,60,100000000,1.000000e+08,23.832579,1.689451,22.159336,26.910028
task, Yes,62,100000000,1.000000e+08,25.011659,0.447583,24.439284,25.749562
task, Yes,64,100000000,1.000000e+08,24.170509,0.913155,23.166356,25.610746
