"Method","Sorted","Threads","Elements","Elements (Scientific)","Average time (s)","St. Deviation (s)","Min (s)","Max (s)"
serial, Yes,1,1000000,1.000000e+06,1.036435,0.010552,1.024016,1.051829
task, Yes,2,2000000,2.000000e+06,1.144772,0.020879,1.113701,1.164970
task, Yes,4,4000000,4.000000e+06,1.355931,0.026717,1.319221,1.401731
task, Yes,6,6000000,6.000000e+06,1.557344,0.059127,1.482718,1.615654
task, Yes,8,8000000,8.000000e+06,1.915443,0.048631,1.863042,1.978287
task, Yes,10,10000000,1.000000e+07,2.142509,0.051245,2.088146,2.224032
task, Yes,12,12000000,1.200000e+07,2.736038,0.151769,2.556236,2.933671
task, Yes,14,14000000,1.400000e+07,2.929160,0.222054,2.622739,3.287108
task, Yes,16,16000000,1.600000e+07,3.315542,0.136134,3.121675,3.498435
task, Yes,18,18000000,1.800000e+07,3.609790,0.121475,3.394629,3.739694
task, Yes,20,20000000,2.000000e+07,4.256362,0.228191,4.035058,4.588580
task, Yes,22,22000000,2.200000e+07,4.926831,0.536332,4.376938,5.908790
task, Yes,24,24000000,2.400000e+07,5.451604,0.116277,5.263373,5.602627
task, Yes,26,26000000,2.600000e+07,6.045775,0.383276,5.575073,6.634033
task, Yes,28,28000000,2.800000e+07,6.359765,0.267913,6.028228,6.818232
task, Yes,30,30000000,3.000000e+07,6.952206,0.453222,6.535353,7.544663
task, Yes,32,32000000,3.200000e+07,7.714581,0.431921,7.079851,8.431333
task, Yes,34,34000000,3.400000e+07,8.328495,0.923555,6.828917,9.407050
task, Yes,36,36000000,3.600000e+07,8.976062,0.319040,8.369458,9.248097
task, Yes,38,38000000,3.800000e+07,9.273451,0.814630,8.464064,10.695108
task, Yes,40,40000000,4.000000e+07,9.724705,0.363941,9.281175,10.254977
task, Yes,42,42000000,4.200000e+07,10.598060,0.592392,9.730035,11.254166
task, Yes,44,44000000,4.400000e+07,10.960098,0.658558,10.401845,12.209131
task, Yes,46,46000000,4.600000e+07,10.824737,0.284476,10.431655,11.263301
task, Yes,48,48000000,4.800000e+07,11.338359,0.286122,10.846379,11.636501
task, Yes,50,50000000,5.000000e+07,12.748300,0.714127,11.668423,13.895998
task, Yes,52,52000000,5.200000e+07,12.941501,0.531506,12.408366,13.724762
task, Yes,54,54000000,5.400000e+07,13.131387,0.352422,12.637781,13.482175
task, Yes,56,56000000,5.600000e+07,14.068314,0.629107,13.543579,15.298696
task, Yes,58,58000000,5.800000e+07,14.565658,0.367616,13.995802,15.075883
task, Yes,60,60000000,6.000000e+07,14.425748,0.761268,13.704005,15.598765
task, Yes,62,62000000,6.200000e+07,15.849589,0.476392,14.985810,16.379796
task, Yes,64,64000000,6.400000e+07,15.757248,0.562850,15.137035,16.635597
psrs, Yes,2,2000000,2.000000e+06,2.406709,0.011079,2.389906,2.418381
psrs, Yes,4,4000000,4.000000e+06,3.487289,0.124010,3.378162,3.703085
psrs, Yes,6,6000000,6.000000e+06,4.726575,0.300870,4.379589,5.233648
psrs, Yes,8,8000000,8.000000e+06,5.402593,0.084937,5.256953,5.493975
psrs, Yes,10,10000000,1.000000e+07,6.700216,0.121511,6.528472,6.847525
psrs, Yes,12,12000000,1.200000e+07,7.413416,0.293874,7.073862,7.819659
psrs, Yes,14,14000000,1.400000e+07,9.310090,0.776907,8.716745,10.816395
psrs, Yes,16,16000000,1.600000e+07,10.369330,0.736692,9.625732,11.773307
psrs, Yes,18,18000000,1.800000e+07,10.810194,0.249630,10.536906,11.279977
psrs, Yes,20,20000000,2.000000e+07,12.264779,0.310417,11.815277,12.646229
psrs, Yes,22,22000000,2.200000e+07,13.344255,0.389319,12.669183,13.849806
psrs, Yes,24,24000000,2.400000e+07,14.763926,0.536432,14.032240,15.552595
psrs, Yes,26,26000000,2.600000e+07,16.009054,0.701611,15.375129,16.917701
psrs, Yes,28,28000000,2.800000e+07,17.425589,0.994975,16.568567,19.132080
psrs, Yes,30,30000000,3.000000e+07,19.207940,0.989448,17.844799,20.474860
psrs, Yes,32,32000000,3.200000e+07,19.692078,0.570331,19.164657,20.779133
psrs, Yes,34,34000000,3.400000e+07,20.780367,0.703228,19.969578,21.982760
psrs, Yes,36,36000000,3.600000e+07,21.818455,0.305084,21.367589,22.197821
psrs, Yes,38,38000000,3.800000e+07,24.465088,0.908562,23.279345,25.753305
psrs, Yes,40,40000000,4.000000e+07,27.145020,2.621903,23.609687,30.672920
psrs, Yes,42,42000000,4.200000e+07,25.816537,1.252508,24.641853,28.121796
psrs, Yes,44,44000000,4.400000e+07,26.670458,0.591664,26.157526,27.775637
psrs, Yes,46,46000000,4.600000e+07,28.134451,0.872775,27.235817,29.644987
psrs, Yes,48,48000000,4.800000e+07,30.692970,1.637753,28.915419,32.706710
psrs, Yes,50,50000000,5.000000e+07,31.433117,0.601296,30.854045,32.579350
psrs, Yes,52,52000000,5.200000e+07,33.233849,1.555802,32.289346,36.312136
psrs, Yes,54,54000000,5.400000e+07,35.772012,2.289198,33.714220,39.735164
psrs, Yes,56,56000000,5.600000e+07,34.372854,1.146341,32.972964,36.256182
psrs, Yes,58,58000000,5.800000e+07,36.067459,0.324819,35.846098,36.691546
psrs, Yes,60,60000000,6.000000e+07,39.968348,2.093534,37.982633,43.328889
psrs, Yes,62,62000000,6.200000e+07,39.138579,0.878546,37.719014,40.452455
psrs, Yes,64,64000000,6.400000e+07,40.353807,1.048474,39.060910,42.259995
